date,#2a,#americafirst,#amjoy,#as,#ask,#askthegays,#basementdwellers,#bigleagu,#bigleaguetrut,#bigleaguetruth,#blacklivesmatter,#cbn2016,#christ,#christianity,#christianvalues,#cnnrealitycheck,#foxnews,#gop,#guccifer2,#hannity,#hillary,#imwithher,#in,#indiana,#ingov,#isis,#j4jednation,#kaine,#kainewreck,#kellyfile,#kreepykaine,#lgbt,#lgbtq,#lockherup,#maga,#makeame,#makeamerica,#makeamericagreatagain,#manypeoplearesaying,#mediabias,#mikepence,#never,#neverhillary,#notmyticket,#obamacare,#paytoplay,#pe,#penc,#pence,#pencesgreatesthits,#pencewon,#prolife,#reprohealth,#resolve,#rfra,#rnc,#socialsecurity,#takeastand,#teampence,#thatmexicanthing,#thatmexicanthingagain,#thuglife,#tr,#tru,#trump,#trump's,#trump2016,#trumppence16,#trumppence2016,#trumptrain,#ttt16,#va,#vp,#vpd,#wearewithyou,#مايك_بينس
2016-10-04 20:55:00,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,22,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,28,26,0,0,0,0,10,0,0
2016-10-04 21:00:00,0,0,0,0,0,21,0,0,0,63,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,36,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,4,0,0,0,3,0,0
2016-10-04 21:05:00,0,0,0,9,0,10,0,0,0,38,0,0,0,0,0,0,25,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,139,0,0,0,0,0,2,0,0
2016-10-04 21:10:00,0,0,0,10,0,11,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,10,6,8,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,6,9,0,0
2016-10-04 21:15:00,0,0,0,0,0,138,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,59,0,0,0,0,0,0,0,0,0,16,256,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
2016-10-04 21:20:00,0,0,0,0,237,30,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,150,0,0,0,0,0,0,0,0,0,18,106,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0
2016-10-04 21:25:00,0,0,0,0,46,135,0,0,0,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,169,0,0
2016-10-04 21:30:00,0,0,0,0,0,17,0,0,0,339,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,19,0,0,0,97,0,0
2016-10-04 21:35:00,0,0,0,0,0,0,0,125,0,719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,53,0,0,0,72,108,0,0
2016-10-04 21:40:00,0,0,0,0,0,0,0,1700,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,45,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,48,0,0,239,0,0,0,0,0,0,0,0
2016-10-04 21:45:00,0,0,0,0,0,0,0,603,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,19,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,285,0,0,0,0,0,0,0,0
2016-10-04 21:50:00,0,0,0,0,0,0,0,285,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,45,0,0,0,0,111,0,90,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0
2016-10-04 21:55:00,0,0,0,0,0,135,0,163,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0
2016-10-04 22:00:00,0,0,0,0,0,0,0,121,251,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,103,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,98,0,0,0,0,0,0
2016-10-04 22:05:00,0,0,0,0,0,0,0,0,978,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,0,60,0,628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,0
2016-10-04 22:10:00,0,0,0,0,0,0,295,0,1075,207,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,48,0,0,0,0,0,0,116,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
2016-10-04 22:15:00,0,0,0,0,0,0,1198,0,377,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0
