date,#2a,#amjoy,#as,#ask,#askthegays,#basementdwellers,#bigleagu,#bigleaguetrut,#bigleaguetruth,#cbn2016,#christianity,#foxnews,#guccifer2,#hannity,#hillary,#imwithher,#ingov,#isis,#j4jednation,#kaine,#kainewreck,#kellyfile,#kreepykaine,#lgbt,#lgbtq,#liar,#maga,#makeame,#makeamerica,#makeamericagreatagain,#mikepence,#nancyleegrahn,#never,#notmyticket,#obamacare,#paytoplay,#pe,#pence,#pencelies,#pencesgreatesthits,#pencewon,#prolife,#reprohealth,#resolve,#rfra,#thatmexicanthing,#thatmexicanthingagain,#thuglife,#tru,#trump,#trump's,#trump2016,#trumppence16,#trumppence2016,#trumptrain,#vp,#vpd,#winner
2016-10-04 23:00:00,60,0,0,0,0,105,0,61,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,467,0,0,175,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,108,0,121,0,0,0
2016-10-04 23:05:00,0,0,0,0,0,92,50,80,65,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,446,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,87,60,0,0
2016-10-04 23:10:00,0,0,0,0,0,76,48,60,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,314,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,62,0,0,0,0,99,58,0,0
2016-10-04 23:15:00,0,0,0,0,0,56,0,41,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,276,0,0,0,0,0,0,51,0,0,0,0,40,0,0,0,0,0,0,0,59,0,0,44,0,67,0,0,0
2016-10-04 23:20:00,0,0,0,0,0,47,0,36,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,215,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,0,34,0,0,54,0,70,0,0,0
2016-10-04 23:25:00,34,0,0,0,0,56,0,48,47,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,254,0,0,178,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,88,0,0,0
2016-10-04 23:30:00,0,0,0,0,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,29,35,0,0,0,0,251,0,0,132,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,28,0,0,40,0,106,0,0,0
2016-10-04 23:35:00,0,0,0,0,0,63,37,36,33,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,187,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,32,0,0,0,0,50,0,0,0
2016-10-04 23:40:00,24,0,0,0,0,62,0,42,25,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,21,0,153,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,55,0,0,0
2016-10-04 23:45:00,0,0,0,0,0,44,22,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,115,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,24,0,0,16,0,80,0,0,0
2016-10-04 23:50:00,0,0,0,0,0,43,18,27,22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,146,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,20,51,0,0,0
2016-10-04 23:55:00,0,0,0,0,0,55,23,36,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,142,0,0,77,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,22,0,0,33,0,58,0,0,0
2016-10-05 00:00:00,0,0,0,0,0,25,17,23,18,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,109,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0,0,44,0,0,0
2016-10-05 00:05:00,0,0,0,0,0,39,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,133,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,0,0,20,0,44,0,0,0
2016-10-05 00:10:00,0,0,0,0,0,32,16,20,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,98,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,23,0,0,16,0,35,0,0,0
2016-10-05 00:15:00,0,0,0,0,0,33,0,26,29,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,103,0,0,49,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,71,0,0,0,0,0,0,23,0,25,0,0,0
2016-10-05 00:20:00,0,0,0,0,0,31,0,24,25,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,13,0,0,17,0,24,0,0,0
2016-10-05 00:25:00,0,0,0,0,0,28,0,25,21,0,0,0,0,0,0,0,0,16,0,0,15,0,0,0,0,0,88,0,0,45,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,52,0,0,0,0,0,0,0,0,35,0,0,0
2016-10-05 00:30:00,0,0,0,0,0,24,0,17,17,15,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,73,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,16,0,27,0,0,0
2016-10-05 00:35:00,0,0,0,0,0,29,0,19,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,0,0,64,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12,0,14,0,12,0
2016-10-05 00:40:00,0,0,0,0,0,22,0,15,11,0,0,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,73,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,15,0,21,0,0,0
2016-10-05 00:45:00,0,0,0,0,0,24,0,12,14,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,12,0,0,0
2016-10-05 00:50:00,0,0,0,0,0,20,11,12,0,0,0,0,0,11,0,0,0,10,0,0,0,0,0,0,0,0,54,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,15,0,0,0
2016-10-05 00:55:00,0,0,0,0,0,18,13,20,13,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,49,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,16,0,0,0
2016-10-05 01:00:00,10,0,0,0,0,20,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,59,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,0,0,11,0,0,0,0,17,0,0,0
2016-10-05 01:05:00,7,0,0,0,0,19,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,8,0,0,6,0,0,0,0,0
2016-10-05 01:10:00,0,0,0,0,0,24,0,16,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,47,0,0,16,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11,19,0,0,0,0,0,11,0,15,0,0,0
2016-10-05 01:15:00,0,0,0,0,0,12,0,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,0,0,0,0,0,6,0,8,0,0,0
2016-10-05 01:20:00,0,0,0,0,0,13,0,14,0,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,0,0,34,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,20,40,0,0,0,0,0,0,0,13,0,0,0
2016-10-05 01:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
