date,#1uvote,#aliciamachado,#am,#americafirst,#askaboutabortion,#baitedbyatweet,#benghazi,#bigly,#birther,#birtherism,#blacklivesmatter,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#chicago,#china,#classact,#climate,#clinton,#constitution,#crookedhillary,#donaldtrump,#drink,#dtmag,#economy,#electingrecession,#elmorenomichael,#envivo,#factcheck,#foxnews,#foxnews2016,#hannity,#hillary,#hillaryclinton,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#leadright2016,#leavethecountry,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#nafta,#nato,#nevertrump,#newversion,#nra,#onevote,#polls,#potus,#racist,#rawtonight,#saynotohillary,#slipping,#sniff,#sniffles,#sosweet,#spinroom,#stamina,#stopandfrisk,#tax,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#warofnorthernaggression,#whitesagainsttrump,#wordsmatter
2016-09-26 22:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,344,130,0,0,0,0,0,509,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,120,0,0,0,96,0,0,0,0,0,0
2016-09-26 22:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,94,0,0,448,155,0,0,0,0,0,1585,0,0,0,0,160,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,106,0,0,540,0,0,0,0,0,0,1152,0,0,0,0,0,111,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,83,0,0,73,0,0,0,0,0,0
2016-09-26 22:30:00,0,0,0,0,0,72,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,447,68,0,0,0,0,0,662,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,69,0,0,0,0,0,91
2016-09-26 22:35:00,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,578,750,0,0,0,0,0,530,130,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,306,0,0,315,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:40:00,0,0,0,0,0,0,5267,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,407,0,0,0,0,0,681,292,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,77,0,0,0,0,0
2016-09-26 22:45:00,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,306,0,0,0,0,0,664,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,81,0,0,174,0,0,94,0,81,0,0,0,0,0
2016-09-26 22:50:00,0,0,0,0,0,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,187,212,0,0,0,0,0,699,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,84,0,0,77,0,0,169,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:55:00,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,160,172,0,0,0,0,0,557,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,88,0,0,161,74,0,0,0,0,0,0,0,0,0
2016-09-26 23:00:00,0,0,0,0,0,0,1040,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,144,160,0,0,0,0,0,496,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,140,71,0,0,0,0,0,0,0,0,0
2016-09-26 23:05:00,0,0,0,0,0,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,115,133,0,0,0,0,0,452,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,207,0,0,0,121,0,0,0
2016-09-26 23:10:00,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,101,0,0,107,121,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,92,0,0,0,170,0,0,0
2016-09-26 23:15:00,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,74,0,0,94,104,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,67,0,0,0,126,0,0,0
2016-09-26 23:20:00,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,87,91,0,0,0,0,0,353,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,98,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,103,0,0,0
2016-09-26 23:25:00,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,67,99,0,0,0,0,0,374,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,100,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,83,0,0,0
2016-09-26 23:30:00,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,88,50,0,0,0,0,255,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,60,0,0,0
2016-09-26 23:35:00,0,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,67,88,0,0,0,0,243,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,49,0,0,0
2016-09-26 23:40:00,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,64,198,0,0,0,0,226,93,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,56,0,0,0
2016-09-26 23:45:00,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,69,211,0,0,0,0,211,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,57,0,0,0
2016-09-26 23:50:00,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,78,79,70,194,0,0,0,0,248,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,58,0,0,0
2016-09-26 23:55:00,0,72,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,76,0,79,114,0,0,0,0,892,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,68,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:00:00,0,0,0,810,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,42,56,83,0,0,0,0,1763,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,55,0,0,0,0
2016-09-27 00:05:00,0,0,0,621,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,97,34,56,69,0,0,0,0,924,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:10:00,0,0,0,113,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,18,13,0,9,0,0,0,0,175,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:15:00,0,0,0,63,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,21,0,0,0,0,0,0,0,115,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,19,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:20:00,0,0,0,306,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,69,0,0,0,126,0,52,0,0,0,0,0,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,123,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:25:00,0,0,0,272,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,40,0,0,0,95,0,40,0,0,0,0,0,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,72,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:30:00,0,0,0,209,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,46,0,0,0,0,66,38,0,0,0,0,0,0,458,41,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:35:00,0,0,0,205,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,59,36,35,0,0,0,0,0,477,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:40:00,0,0,0,184,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,0,0,0,56,0,35,0,0,0,0,0,438,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:45:00,0,0,0,153,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,60,42,0,39,0,0,60,61,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:50:00,0,0,0,136,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,39,58,36,0,0,0,39,38,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
2016-09-27 00:55:00,0,41,0,119,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,280,0,0,41,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,127,0,0,0
2016-09-27 01:00:00,0,132,0,116,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,289,0,0,131,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,209,0,0,0
2016-09-27 01:05:00,0,0,0,87,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,21,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,43,0,0,0,0,0,0,124,0,0,0
2016-09-27 01:10:00,0,0,0,79,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,39,0,0,0,0,0,24,90,0,0,0
2016-09-27 01:15:00,0,0,0,90,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,19,0,72,0,0,0,0,0,0,0,239,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,17,0,0,0,0,0,92,0,0,0
2016-09-27 01:20:00,0,0,0,85,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,30,0,0,0,0,0,264,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,33,0,0,0,0,0,87,0,0,0
2016-09-27 01:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
