date,#1uvote,#2a,#aliciamachado,#apfactcheck,#askaboutabortion,#benghazi,#birther,#birtherism,#blacklivesmatter,#boom,#bringbernieback,#bzbfam,#classact,#cleanenergy,#climatechange,#clinton,#constitution,#crookedhillary,#cybersecurity,#donaldtrump,#dwts,#economy,#education,#electingrecession,#elmorenomichael,#emails,#envivo,#equalpay,#fact,#factche,#factcheck,#fox,#foxnews,#foxnews2016,#hairspray,#hannity,#hillary,#hillaryclinton,#hillyes,#icymi,#implicitbias,#imwither,#imwithher,#iran,#isis,#itrus,#j4jednation,#jobs,#kellyfile,#lockherup,#lyinhillary,#maga,#makeamericagreatagain,#map,#micdrop,#misstrendingtopic,#mivoto2016,#nafta,#neverhillary,#nevertrump,#orei,#out-woman-ed,#outgunned,#outnumbered,#outplanned,#overit,#paidfamilyleave,#paidleave,#pearlsbeforeswine,#pinko,#polls,#potus,#rawtonight,#retweet,#rt,#scotus,#shesla,#sheslays,#sheswithus,#shewon,#slipping,#smackhim,#sn,#stami,#stamina,#stopandfrisk,#strength,#strongert,#strongertogether,#tax,#teamtru,#tertuliahillaryvstrump,#the411,#tpp,#trump,#trump's,#trump2016,#trumpedup,#trumpeduptrickledown,#trumpeduptrickledowneconomics,#trumpl,#trumpslies,#trumptrain,#trumpwins,#tytlive,#unafraid,#upwithro,#usa,#veterans,#votolatino,#warondrugs,#watchoutmeryl,#won,#wordsmatter
2016-09-26 21:40:00,0,0,0,274,0,133,0,0,0,0,0,0,0,0,0,0,0,70,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,913,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,234,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 21:45:00,0,65,0,196,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,68,0,83,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876,0,0,0
2016-09-26 21:50:00,0,92,0,0,0,0,0,0,184,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,858,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,113,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0
2016-09-26 21:55:00,0,289,0,0,0,0,0,0,292,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,931,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,437,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0
2016-09-26 22:00:00,0,0,0,0,0,0,113,95,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1689,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,190,0,0,0,129,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0
2016-09-26 22:05:00,0,0,0,0,0,81,110,0,0,0,0,0,132,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,718,0,0,0,0,0,0,0,152,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
2016-09-26 22:10:00,0,139,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,122,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,137,0,0,0,0,0,0,71,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:15:00,0,175,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,1133,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:20:00,0,80,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,884,0,136,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,84,0,0
2016-09-26 22:25:00,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,1189,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,353,0,0,0,0,0,0,401,0,0
