date,#1uvote,#aliciamachado,#am,#americafirst,#benghazi,#birther,#bloomberg,#cantinfleando,#centralpark5,#centralparkfive,#chelasfortheband,#climatechange,#clinton,#clintonvstrump,#constitution,#crookedhillary,#donaldtrump,#drink,#elmorenomichael,#factche,#foxnews,#hannity,#howarethosesniffles,#im,#imwithher,#isis,#kellyfile,#lawandorder,#leadright2016,#leavethecountry,#liberal,#lobotomy,#ma,#maga,#makeamericagreatagain,#mexico,#misstrendingtopic,#mivoto2016,#nafta,#namecalling,#nato,#nevertrump,#newversion,#onevote,#polls,#potus,#presidentialdebate,#publiced,#rawtonight,#slipping,#sniffles,#sondeo,#sosweet,#stamina,#stopandfrisk,#tactics,#taxreturns,#teamtrump,#tertuliahillaryvstrump,#thatawkwardmoment,#toxictrump,#tpp,#tr,#triggerwarning,#trump,#trump2016,#trumpeduptrickledown,#trumpiswi,#trumppence,#trumppence16,#trumptrain,#trumpwins,#uspresidentialdebate,#warofnorthernaggression,#whitesagainsttrump
2016-09-26 22:10:00,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
2016-09-26 22:15:00,0,0,0,0,0,0,0,0,0,0,64,0,62,0,0,0,0,0,0,0,0,0,0,0,344,43,0,0,0,0,0,0,0,509,0,0,0,0,0,0,65,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,52,0,0,0,0,0,0,0,1585,0,0,0,0,0,0,109,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:25:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:35:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,731,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,285,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:40:00,0,0,0,0,5267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,95,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:45:00,0,0,0,0,2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:50:00,0,0,0,0,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 22:55:00,0,0,0,0,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
